Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,BOILING,BOMB_DROPPED,BOMB_EXPLODED,BOMB_USELESS,CLOSING_IN,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_DESTROYED,CRATE_POT_DESTROYED,DANGER,FRESHENED_UP,GOT_KILLED,HOT,INESCAPABLE,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,NOT_DEAD,OPPONENT_ELIMINATED,RUN_DANGER,RUN_KNOWN_DANGER,RUN_SAFE,SURVIVED_ROUND,WAITED,WARM,UP,DOWN,LEFT,RIGHT,WAIT,BOMB
2024-09-29 14:31:00,321.61372804641724,10,0,-43.88000000000001,0,30,30,0,0,2,4,0,52,0,0,0,10,0,0,47,0,10,20,35,34,21,0,0,0,8,0,0,104,0,36,41,26,38,102,38
2024-09-29 14:31:00,322.64610409736633,10,0,-46.30000000000005,0,26,26,0,0,1,7,0,61,0,0,0,10,0,0,42,0,10,73,26,32,77,0,0,1,10,0,0,90,0,86,38,80,30,89,33
2024-09-29 14:31:00,323.3563389778137,10,1,-37.71000000000008,0,21,21,0,0,2,4,0,48,0,0,0,10,0,0,29,0,10,12,37,42,14,0,0,0,8,0,0,77,0,17,49,17,42,73,24
2024-09-29 14:31:00,324.38151025772095,10,0,-40.220000000000155,0,19,19,0,0,1,5,0,43,0,0,0,10,0,0,31,0,10,9,95,99,13,0,0,1,8,0,0,54,0,20,104,14,95,53,24
2024-09-29 14:31:00,325.18593096733093,10,0,-43.550000000000075,0,23,23,0,0,0,3,0,51,0,0,0,10,0,0,39,0,10,11,32,38,18,0,0,2,8,0,0,90,0,25,43,16,40,87,30
2024-09-29 14:31:00,325.9157130718231,10,0,-40.50000000000002,0,21,21,0,0,0,3,0,51,0,0,0,10,0,0,34,0,10,18,23,32,19,0,0,2,7,0,0,68,0,22,35,26,26,66,30
2024-09-29 14:31:00,327.05677700042725,10,0,-46.809999999999675,0,20,20,0,0,0,5,0,37,0,0,0,10,0,0,42,0,10,113,29,25,116,0,0,2,9,0,0,69,0,124,31,118,36,68,27
2024-09-29 14:31:00,328.0248291492462,10,0,-43.21000000000006,0,21,21,0,0,2,4,0,45,0,0,0,10,0,0,39,0,10,63,17,25,62,0,0,2,9,0,0,91,0,66,36,68,26,86,26
2024-09-29 14:31:00,329.3298840522766,10,0,-49.659999999999854,0,18,18,0,0,1,2,0,40,0,0,0,10,0,0,52,0,10,115,56,58,117,0,0,1,9,0,0,97,0,125,70,126,63,94,25
2024-09-29 14:31:00,331.33647418022156,10,0,-56.870000000000154,0,19,19,0,0,0,4,0,43,0,0,0,10,0,0,66,0,10,249,80,81,249,0,0,1,8,0,0,90,0,257,97,264,93,89,24
